"","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes","comparison"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.MYDGF",-2.72738226481849,5.14870812060671,-7.83074004256827,2.70928954562987e-11,3.34242967175475e-09,15.4550357169152,"MYDGF","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.NDUFAF8",-2.13070608813869,4.53607802809802,-7.81924639992068,2.84480344163764e-11,3.4828211906095e-09,15.4106630559836,"NDUFAF8","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.TOMM5",-2.43364382992582,4.32707566264496,-7.81577572791643,2.88805556816095e-11,3.50898751531556e-09,15.4049551208821,"TOMM5","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.MEA1",-2.84212957732016,3.20388440518933,-7.80722398639025,2.99745048406245e-11,3.58754558682042e-09,15.3782034955519,"MEA1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.REEP5",-1.6115241434653,6.12458143333868,-7.81402876321655,2.9100742493849e-11,3.50915570012293e-09,15.3767796765847,"REEP5","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.GHITM",-2.28138982323217,5.34701562320308,-7.80548752165674,3.02016366473738e-11,3.58795443370801e-09,15.3450708805804,"GHITM","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.ERH",-2.05964184988458,5.26333623985056,-7.78921902341229,3.24147850541529e-11,3.82256119631253e-09,15.2782422940071,"ERH","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.MRPL12",-2.38333663892184,3.37229038852082,-7.76753032575724,3.56189803303544e-11,4.16976063166587e-09,15.2088085761359,"MRPL12","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.NAXE",-2.43143524946644,3.83942884486807,-7.75486225556397,3.76347670056045e-11,4.31133138025632e-09,15.1523927057552,"NAXE","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.S100A11",-3.86852266922896,5.67124432891685,-7.76031241644457,3.73390291995456e-11,4.30822554174325e-09,15.1452360216908,"S100A11","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.GIHCG",-1.89153527357064,3.15368754104984,-7.75060816438904,3.8336909950556e-11,4.35693761665721e-09,15.1362954419299,"GIHCG","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.ZNF593",-3.00365159905799,2.31620389311295,-7.74917609789109,3.85762028660259e-11,4.35693761665721e-09,15.1297533642169,"ZNF593","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.NUDT18",-2.60363837848503,1.18045020184576,-7.75723635132753,3.72485136681102e-11,4.30822554174325e-09,15.1287048130205,"NUDT18","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.MRPS23",-1.79669762264698,3.80833663596182,-7.73473175001771,4.1074710813793e-11,4.60668679742386e-09,15.0671790241809,"MRPS23","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.TMEM115",-2.6313835361638,2.34663306964009,-7.72944374191534,4.20292362723735e-11,4.64872338852639e-09,15.0490064918479,"TMEM115","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.POLR2K",-3.19870932043062,3.86093450093822,-7.73285764026546,4.16535592294477e-11,4.63916515917973e-09,15.0478443465402,"POLR2K","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.EMC6",-3.0200619166225,3.12627709895173,-7.71856915519751,4.40632920369852e-11,4.80739508632087e-09,15.0039695321988,"EMC6","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
